Flux ID,V,A,Time,Concentration
101cont010725,191.3,0.5625,0,0.381846063
101cont010725,191.3,0.5625,0.471666667,0.363276042
101cont010725,191.3,0.5625,1.063055556,0.362115416
101cont010725,191.3,0.5625,1.5575,0.373721679
102acid010725,188.4,0.5625,0,0.356312284
102acid010725,188.4,0.5625,0.455833333,0.372561053
102acid010725,188.4,0.5625,1.045555555,0.360954789
102acid010725,188.4,0.5625,1.541944444,0.410861722
103cont010725,191.3,0.5625,0,0.329617878
103cont010725,191.3,0.5625,0.441944444,0.358633537
103cont010725,191.3,0.5625,1.0275,0.355151658
103cont010725,191.3,0.5625,1.526388889,0.352830405
104acid010725,189.6,0.5625,0,0.350509152
104acid010725,189.6,0.5625,0.428888889,0.384167316
104acid010725,189.6,0.5625,1.013333333,0.386488569
104acid010725,189.6,0.5625,1.514722222,0.381846063
105cont010725,190.7,0.5625,0,0.35747291
105cont010725,190.7,0.5625,0.414166667,0.395773579
105cont010725,190.7,0.5625,0.996388889,0.399255458
105cont010725,190.7,0.5625,1.489166667,0.420146732
106acid010725,192.9,0.5625,0,0.372561053
106acid010725,192.9,0.5625,0.405555556,0.367918547
106acid010725,192.9,0.5625,0.977777778,0.377203558
106acid010725,192.9,0.5625,1.470833333,0.365597295
101cont030725,191.3,0.5625,0,0.364494821
101cont030725,191.3,0.5625,0.471666667,0.36686938
101cont030725,191.3,0.5625,1.063055556,0.385865853
101cont030725,191.3,0.5625,1.5575,0.39298953
102acid030725,188.4,0.5625,0,0.398925928
102acid030725,188.4,0.5625,0.455833333,0.39180225
102acid030725,188.4,0.5625,1.045555555,0.387053132
102acid030725,188.4,0.5625,1.541944444,0.408424164
103cont030725,191.3,0.5625,0,0.371618498
103cont030725,191.3,0.5625,0.441944444,0.409611443
103cont030725,191.3,0.5625,1.0275,0.402487766
103cont030725,191.3,0.5625,1.526388889,0.401300487
104acid030725,189.6,0.5625,0,0.385865853
104acid030725,189.6,0.5625,0.428888889,0.390614971
104acid030725,189.6,0.5625,1.013333333,0.387053132
104acid030725,189.6,0.5625,1.514722222,0.381116734
105cont030725,190.7,0.5625,0,0.375180337
105cont030725,190.7,0.5625,0.414166667,0.390614971
105cont030725,190.7,0.5625,0.996388889,0.406049605
105cont030725,190.7,0.5625,1.489166667,0.406049605
106acid030725,192.9,0.5625,0,0.370431218
106acid030725,192.9,0.5625,0.405555556,0.378742175
106acid030725,192.9,0.5625,0.977777778,0.385865853
106acid030725,192.9,0.5625,1.470833333,0.369243939
101cont060725,191.3,0.5625,0,0.384167316
101cont060725,191.3,0.5625,0.456666667,0.379524811
101cont060725,191.3,0.5625,0.933888889,0.406219216
101cont060725,191.3,0.5625,1.425,0.415504227
102acid060725,188.4,0.5625,0,0.393452327
102acid060725,188.4,0.5625,0.433888889,0.415504227
102acid060725,188.4,0.5625,0.915277778,0.414343601
102acid060725,188.4,0.5625,1.412777778,0.399255458
103cont060725,191.3,0.5625,0,0.3922917
103cont060725,191.3,0.5625,0.430833333,0.381846063
103cont060725,191.3,0.5625,0.914166667,0.373721679
103cont060725,191.3,0.5625,1.410833333,0.384167316
104acid060725,189.6,0.5625,0,0.380685437
104acid060725,189.6,0.5625,0.419444445,0.374882305
104acid060725,189.6,0.5625,0.891944444,0.364436668
104acid060725,189.6,0.5625,1.383888889,0.378364184
105cont060725,190.7,0.5625,0,0.3922917
105cont060725,190.7,0.5625,0.397777778,0.356312284
105cont060725,190.7,0.5625,0.871111111,0.389970448
105cont060725,190.7,0.5625,1.364166667,0.374882305
106acid060725,192.9,0.5625,0,0.356312284
106acid060725,192.9,0.5625,0.394166667,0.359794163
106acid060725,192.9,0.5625,0.861944444,0.388809821
106acid060725,192.9,0.5625,1.353611111,0.355151658
101cont100725,191.3,0.5625,0,0.379663603
101cont100725,191.3,0.5625,0.5075,0.43170472
101cont100725,191.3,0.5625,0.963055556,0.418694441
101cont100725,191.3,0.5625,1.5075,0.397404893
102acid100725,188.4,0.5625,0,0.393856635
102acid100725,188.4,0.5625,0.490833333,0.41396343
102acid100725,188.4,0.5625,0.949166667,0.419877193
102acid100725,188.4,0.5625,1.490833333,0.404501409
103cont100725,191.3,0.5625,0,0.385577366
103cont100725,191.3,0.5625,0.476666667,0.43170472
103cont100725,191.3,0.5625,0.936388889,0.415146183
103cont100725,191.3,0.5625,1.474444444,0.416328935
104acid100725,189.6,0.5625,0,0.392673882
104acid100725,189.6,0.5625,0.464166667,0.390308377
104acid100725,189.6,0.5625,0.925,0.390308377
104acid100725,189.6,0.5625,1.444166667,0.399770398
105cont100725,190.7,0.5625,0,0.379663603
105cont100725,190.7,0.5625,0.427222222,0.395039388
105cont100725,190.7,0.5625,0.900277778,0.399770398
105cont100725,190.7,0.5625,1.421388889,0.415146183
106acid100725,192.9,0.5625,0,0.379663603
106acid100725,192.9,0.5625,0.425277778,0.397404893
106acid100725,192.9,0.5625,0.897777778,0.402135903
106acid100725,192.9,0.5625,1.413055556,0.412780677
101cont170725,191.3,0.5625,0,0.423924086
101cont170725,191.3,0.5625,0.513055556,0.451722387
101cont170725,191.3,0.5625,1.021944444,0.472571113
101cont170725,191.3,0.5625,1.412222222,0.580289528
102acid170725,188.4,0.5625,0,0.348637022
102acid170725,188.4,0.5625,0.485,0.477204163
102acid170725,188.4,0.5625,0.976666667,0.484153738
102acid170725,188.4,0.5625,1.386111111,0.514268564
103cont170725,191.3,0.5625,0,0.386859685
103cont170725,191.3,0.5625,0.475833333,0.435506712
103cont170725,191.3,0.5625,0.992222222,0.474887638
103cont170725,191.3,0.5625,1.3725,0.580289528
104acid170725,189.6,0.5625,0,0.410024936
104acid170725,189.6,0.5625,0.458333333,0.456355437
104acid170725,189.6,0.5625,0.971111111,0.493419838
104acid170725,189.6,0.5625,1.353055555,0.510793776
105cont170725,190.7,0.5625,0,0.414657986
105cont170725,190.7,0.5625,0.450833333,0.469096325
105cont170725,190.7,0.5625,0.959722222,0.543225127
105cont170725,190.7,0.5625,1.339444444,0.589555628
106acid170725,192.9,0.5625,0,0.405391886
106acid170725,192.9,0.5625,0.437777778,0.447089337
106acid170725,192.9,0.5625,0.943611111,0.524692927
106acid170725,192.9,0.5625,1.324444444,0.571023428
101cont240725,191.3,0.5625,0,0.374500162
101cont240725,191.3,0.5625,0.545833333,0.374500162
101cont240725,191.3,0.5625,0.993055556,0.391891811
101cont240725,191.3,0.5625,1.505,0.39884847
102acid240725,188.4,0.5625,0,0.354789627
102acid240725,188.4,0.5625,0.525555555,0.367543503
102acid240725,188.4,0.5625,0.970555556,0.391891811
102acid240725,188.4,0.5625,1.484722222,0.393051254
103cont240725,191.3,0.5625,0,0.404645686
103cont240725,191.3,0.5625,0.518611111,0.404645686
103cont240725,191.3,0.5625,0.958611111,0.409283459
103cont240725,191.3,0.5625,1.468055555,0.412761789
104acid240725,189.6,0.5625,0,0.354789627
104acid240725,189.6,0.5625,0.507222222,0.36290573
104acid240725,189.6,0.5625,0.942777778,0.373340719
104acid240725,189.6,0.5625,1.451944445,0.39537014
105cont240725,190.7,0.5625,0,0.390732367
105cont240725,190.7,0.5625,0.489444444,0.4023268
105cont240725,190.7,0.5625,0.923611111,0.403486243
105cont240725,190.7,0.5625,1.446111111,0.428993994
106acid240725,192.9,0.5625,0,0.364065173
106acid240725,192.9,0.5625,0.465277778,0.373340719
106acid240725,192.9,0.5625,0.881944445,0.391891811
106acid240725,192.9,0.5625,1.407222222,0.394210697
101cont310725,191.3,0.5625,0,0.389331923
101cont310725,191.3,0.5625,0.581666667,0.402270446
101cont310725,191.3,0.5625,1.130277778,0.406975364
101cont310725,191.3,0.5625,1.549166667,0.418737657
102acid310725,188.4,0.5625,0,0.364631106
102acid310725,188.4,0.5625,0.561944444,0.379922088
102acid310725,188.4,0.5625,1.110277778,0.372864712
102acid310725,188.4,0.5625,1.527222222,0.377569629
103cont310725,191.3,0.5625,0,0.379922088
103cont310725,191.3,0.5625,0.549722222,0.409327822
103cont310725,191.3,0.5625,1.092777778,0.425795034
103cont310725,191.3,0.5625,1.513055555,0.379922088
104acid310725,189.6,0.5625,0,0.362278647
104acid310725,189.6,0.5625,0.525277778,0.372864712
104acid310725,189.6,0.5625,1.065555556,0.370512253
104acid310725,189.6,0.5625,1.484444444,0.365807336
105cont310725,190.7,0.5625,0,0.391684382
105cont310725,190.7,0.5625,0.505555556,0.426971263
105cont310725,190.7,0.5625,1.048888889,0.406975364
105cont310725,190.7,0.5625,1.465,0.398741758
106acid310725,192.9,0.5625,0,0.365807336
106acid310725,192.9,0.5625,0.491666667,0.365807336
106acid310725,192.9,0.5625,1.026666667,0.378745859
106acid310725,192.9,0.5625,1.443055556,0.379922088