,,,,,,(mg NH3-N/m2/min),,%/h,(mg/m2),Fraction of applied TAN,%
35,1,7/1/25 13:00,Control,control,7/1/25,13.04665021,0.002154184,0.215418407,1323.726086,0.218565655,21.85656546
35,2,7/1/25 14:00,Control,control,7/1/25,12.9428633,0.002137047,0.21370474,1314.056864,0.216969131,21.69691311
35,3,7/1/25 14:00,Control,control,7/1/25,10.94098562,0.001806509,0.180650945,1213.245374,0.200323747,20.03237468
36,1,7/1/25 14:00,Control,control,7/1/25,10.23528722,0.001689989,0.168998879,1335.367055,0.220487741,22.04877411
36,2,7/1/25 15:00,Control,control,7/1/25,8.319062755,0.001373593,0.137359339,1324.687827,0.218724451,21.87244515
36,3,7/1/25 15:00,Control,control,7/1/25,8.162984149,0.001347823,0.134782263,1222.797359,0.201900913,20.19009129
37,1,7/1/25 16:00,Control,control,7/1/25,7.292819923,0.001204146,0.120414637,1344.131108,0.221934809,22.19348086
37,2,7/1/25 16:00,Control,control,7/1/25,6.821468273,0.00112632,0.112631963,1332.258093,0.219974408,21.9974408
37,3,7/1/25 16:00,Control,control,7/1/25,7.146138052,0.001179927,0.117992714,1230.45192,0.203164788,20.31647878
38,1,7/1/25 17:00,Control,control,7/1/25,6.185495911,0.001021312,0.102131172,1350.870266,0.223047538,22.30475377
38,2,7/1/25 17:00,Control,control,7/1/25,7.131454027,0.001177503,0.117750261,1339.234554,0.221126319,22.11263191
38,3,7/1/25 18:00,Control,control,7/1/25,7.702890962,0.001271855,0.127185482,1237.876434,0.204390679,20.43906787
40,1,7/1/25 18:00,Control,control,7/1/25,6.082211624,0.001004258,0.100425804,1363.137974,0.225073107,22.50731074
40,2,7/1/25 18:00,Control,control,7/1/25,6.37286347,0.001052249,0.105224872,1352.738871,0.22335607,22.33560704
40,3,7/1/25 19:00,Control,control,7/1/25,6.618519615,0.00109281,0.109280998,1252.197845,0.206755344,20.67553435
41,1,7/1/25 19:00,Control,control,7/1/25,5.749427705,0.000949311,0.094931077,1369.053794,0.226049892,22.60498918
41,2,7/1/25 20:00,Control,control,7/1/25,5.876995904,0.000970374,0.097037406,1358.863801,0.224367382,22.43673818
41,3,7/1/25 20:00,Control,control,7/1/25,6.00956976,0.000992264,0.099226385,1258.51189,0.20779788,20.77978804
42,1,7/1/25 20:00,Control,control,7/1/25,5.137763883,0.000848317,0.084831653,1374.497389,0.226948705,22.69487055
42,2,7/1/25 21:00,Control,control,7/1/25,5.048122672,0.000833516,0.083351552,1364.32636,0.225269327,22.52693266
42,3,7/1/25 21:00,Control,control,7/1/25,5.197219345,0.000858133,0.085813346,1264.115284,0.208723079,20.87230791
43,1,7/1/25 22:00,Control,control,7/1/25,4.001635404,0.000660726,0.066072586,1379.067089,0.227703227,22.77032267
43,2,7/1/25 22:00,Control,control,7/1/25,4.610808486,0.000761309,0.076130884,1369.155826,0.226066739,22.60667388
43,3,7/1/25 22:00,Control,control,7/1/25,4.715093254,0.000778528,0.077852771,1269.07144,0.20954141,20.95414097
44,1,7/1/25 23:00,Control,control,7/1/25,3.480383505,0.00057466,0.05746599,1382.808098,0.22832092,22.83209196
44,2,7/1/25 23:00,Control,control,7/1/25,3.709833689,0.000612545,0.061254533,1373.316147,0.226753666,22.67536659
44,3,7/2/25,Control,control,7/2/25,3.895912764,0.00064327,0.064326958,1273.376943,0.210252308,21.02523083
46,1,7/2/25,Control,control,7/2/25,3.174400979,0.000524138,0.052413791,1389.462883,0.229419717,22.94197174
46,2,7/2/25,Control,control,7/2/25,5.070422439,0.000837198,0.083719752,1382.096403,0.228203409,22.82034087
46,3,7/2/25 1:00,Control,control,7/2/25,5.958153156,0.000983774,0.098377426,1283.231009,0.211879352,21.18793522
47,1,7/2/25 1:00,Control,control,7/2/25,6.838597893,0.001129148,0.112914797,1394.469382,0.23024636,23.02463603
47,2,7/2/25 2:00,Control,control,7/2/25,6.401587232,0.001056991,0.105699141,1387.832408,0.229150503,22.91505032
47,3,7/2/25 2:00,Control,control,7/2/25,5.99461853,0.000989795,0.09897952,1289.207395,0.212866137,21.28661369
48,1,7/2/25 2:00,Control,control,7/2/25,4.191575961,0.000692088,0.06920877,1399.984469,0.231156978,23.11569782
48,2,7/2/25 3:00,Control,control,7/2/25,1.818513404,0.000300262,0.030026195,1391.942458,0.22982913,22.98291299
48,3,7/2/25 3:00,Control,control,7/2/25,4.690991889,0.000774548,0.077454824,1294.5502,0.213748309,21.37483086
49,1,7/2/25 4:00,Control,control,7/2/25,5.483055135,0.000905329,0.090532894,1404.821785,0.231955686,23.19556865
49,2,7/2/25 4:00,Control,control,7/2/25,9.706678992,0.001602708,0.16027082,1397.705054,0.230780615,23.07806149
49,3,7/2/25 4:00,Control,control,7/2/25,8.201158167,0.001354126,0.135412569,1300.996275,0.214812646,21.48126456
50,1,7/2/25 5:00,Control,control,7/2/25,5.414355106,0.000893986,0.089398561,1410.27049,0.232855344,23.28553438
50,2,7/2/25 5:00,Control,control,7/2/25,7.553701192,0.001247222,0.124722151,1406.335244,0.23220558,23.22055798
50,3,7/2/25 6:00,Control,control,7/2/25,8.676779233,0.001432657,0.143265737,1309.435244,0.216206037,21.62060371
52,1,7/2/25 6:00,Control,control,7/2/25,6.502013308,0.001073573,0.107357316,1422.186858,0.234822903,23.48229025
52,2,7/2/25 6:00,Control,control,7/2/25,7.13610419,0.00117827,0.117827041,1421.02505,0.234631072,23.46310717
52,3,7/2/25 7:00,Control,control,7/2/25,5.541549821,0.000914987,0.091498723,1323.653573,0.218553682,21.85536817
53,1,7/2/25 7:00,Control,control,7/2/25,5.406604172,0.000892706,0.089270582,1428.141167,0.235806042,23.5806042
53,2,7/2/25 8:00,Control,control,7/2/25,4.444399524,0.000733832,0.07338324,1426.815302,0.235587123,23.55871231
53,3,7/2/25 8:00,Control,control,7/2/25,4.220386213,0.000696845,0.069684468,1328.534541,0.219359598,21.93595977
54,1,7/2/25 8:00,Control,control,7/2/25,4.492503833,0.000741775,0.074177509,1433.090721,0.236623282,23.66232825
54,2,7/2/25 9:00,Control,control,7/2/25,4.218782143,0.00069658,0.069657982,1431.146892,0.236302329,23.63023292
54,3,7/2/25 9:00,Control,control,7/2/25,7.866718403,0.001298905,0.129890502,1334.578093,0.220357473,22.03574725
55,1,7/2/25 10:00,Control,control,7/2/25,4.287847033,0.000707983,0.07079834,1437.480897,0.237348162,23.73481617
55,2,7/2/25 10:00,Control,control,7/2/25,3.527946868,0.000582513,0.058251327,1435.020257,0.236941876,23.69418758
55,3,7/2/25 10:00,Control,control,7/2/25,4.693416512,0.000774949,0.077494858,1340.858161,0.221394399,22.13943993
56,1,7/2/25 11:00,Control,control,7/2/25,5.802560686,0.000958084,0.095808377,1442.5261,0.238181195,23.81811953
56,2,7/2/25 11:00,Control,control,7/2/25,4.293854733,0.000708975,0.070897535,1438.931158,0.23758762,23.75876201
56,3,7/2/25 12:00,Control,control,7/2/25,1.736516527,0.000286723,0.028672312,1344.073127,0.221925235,22.19252352
58,1,7/2/25 12:00,Control,control,7/2/25,2.640322283,0.000435954,0.043595406,1450.968983,0.239575233,23.95752331
58,2,7/2/25 12:00,Control,control,7/2/25,1.961830079,0.000323926,0.032392553,1445.186843,0.238620521,23.8620521
58,3,7/2/25 13:00,Control,control,7/2/25,1.690925696,0.000279195,0.027919544,1347.50057,0.222491154,22.24911537
59,1,7/2/25 13:00,Control,control,7/2/25,2.55861967,0.000422464,0.042246382,1453.568454,0.240004442,24.00044421
59,2,7/2/25 14:00,Control,control,7/2/25,1.581755416,0.00026117,0.02611699,1446.958635,0.238913069,23.89130687
59,3,7/2/25 14:00,Control,control,7/2/25,1.030765605,0.000170194,0.017019379,1348.861415,0.222715848,22.27158483
60,1,7/2/25 14:00,Control,control,7/2/25,1.297411092,0.000214221,0.021422068,1455.49647,0.240322784,24.03227843
60,2,7/2/25 15:00,Control,control,7/2/25,0.681741669,0.000112565,0.011256507,1448.090384,0.239099936,23.90999362
60,3,7/2/25 15:00,Control,control,7/2/25,0.93905809,0.000155052,0.01550516,1349.846327,0.222878471,22.2878471
61,1,7/2/25 16:00,Control,control,7/2/25,0.992551553,0.000163884,0.016388412,1456.641451,0.240511837,24.05118367
61,2,7/2/25 16:00,Control,control,7/2/25,0.345487187,5.70E-05,0.005704476,1448.603998,0.239184741,23.91847411
61,3,7/2/25 16:00,Control,control,7/2/25,0.680333856,0.000112333,0.011233262,1350.656023,0.223012163,22.30121631
62,1,7/2/25 17:00,Control,control,7/2/25,0.889410621,0.000146854,0.014685411,1457.582432,0.240667206,24.06672058
62,2,7/2/25 17:00,Control,control,7/2/25,0.357009874,5.89E-05,0.005894731,1448.955247,0.239242737,23.92427371
62,3,7/2/25 17:00,Control,control,7/2/25,0.813126834,0.000134259,0.013425859,1351.402753,0.223135459,22.31354587
64,1,7/2/25 18:00,Control,control,7/2/25,0.898872112,0.000148416,0.014841633,1459.370715,0.240962476,24.09624763
64,2,7/2/25 18:00,Control,control,7/2/25,0.504833694,8.34E-05,0.008335509,1449.81709,0.23938504,23.93850395
64,3,7/2/25 19:00,Control,control,7/2/25,0.768421449,0.000126877,0.012687711,1352.984302,0.223396594,22.33965944
65,1,7/2/25 19:00,Control,control,7/2/25,0.863020897,0.000142497,0.01424968,1460.251661,0.241107933,24.11079329
65,2,7/2/25 19:00,Control,control,7/2/25,0.649033614,0.000107165,0.010716451,1450.394024,0.239480299,23.94802993
65,3,7/2/25 20:00,Control,control,7/2/25,0.701794846,0.000115876,0.011587613,1353.71941,0.223517971,22.35179711
66,1,7/2/25 20:00,Control,control,7/2/25,0.862041113,0.000142335,0.014233502,1461.114192,0.241250349,24.12503488
66,2,7/2/25 21:00,Control,control,7/2/25,0.638357314,0.000105402,0.01054017,1451.03772,0.239586582,23.95865824
66,3,7/2/25 21:00,Control,control,7/2/25,0.591642769,9.77E-05,0.009768848,1354.366129,0.223624753,22.36247534
67,1,7/2/25 21:00,Control,control,7/2/25,0.662051402,0.000109314,0.010931393,1461.876239,0.241376173,24.13761732
67,2,7/2/25 22:00,Control,control,7/2/25,0.485268689,8.01E-05,0.008012463,1451.599533,0.239679346,23.96793456
67,3,7/2/25 22:00,Control,control,7/2/25,0.484414817,8.00E-05,0.007998365,1354.904158,0.223713589,22.37135894
68,1,7/2/25 23:00,Control,control,7/2/25,0.426726254,7.05E-05,0.007045846,1462.420627,0.241466059,24.14660594
68,2,7/2/25 23:00,Control,control,7/2/25,0.59774736,9.87E-05,0.009869643,1452.141041,0.239768756,23.97687561
68,3,7/2/25 23:00,Control,control,7/2/25,0.640055776,0.000105682,0.010568214,1355.466393,0.223806422,22.38064223
70,1,7/3/25,Control,control,7/3/25,0.497267762,8.21E-05,0.008210585,1463.344621,0.241618624,24.16186237
70,2,7/3/25,Control,control,7/3/25,2.07680595,0.00034291,0.034290965,1454.815594,0.240210362,24.02103622
70,3,7/3/25 1:00,Control,control,7/3/25,1.189834883,0.000196458,0.019645835,1357.296283,0.224108563,22.41085628
71,1,7/3/25 1:00,Control,control,7/3/25,1.97039109,0.000325339,0.032533907,1464.578451,0.241822346,24.18223462
71,2,7/3/25 1:00,Control,control,7/3/25,4.984974175,0.000823089,0.082308882,1458.346484,0.240793361,24.07933615
71,3,7/3/25 2:00,Control,control,7/3/25,2.137485443,0.000352929,0.035292868,1358.959944,0.224383256,22.43832563
72,1,7/3/25 2:00,Control,control,7/3/25,3.189178856,0.000526578,0.052657795,1467.158236,0.242248305,24.22483047
72,2,7/3/25 3:00,Control,control,7/3/25,4.784644519,0.000790012,0.07900116,1463.231293,0.241599912,24.15999117
72,3,7/3/25 3:00,Control,control,7/3/25,2.767266004,0.000456914,0.045691425,1361.412319,0.224788178,22.47881778
73,1,7/3/25 3:00,Control,control,7/3/25,3.718328887,0.000613948,0.0613948,1470.61199,0.242818568,24.28185677
73,2,7/3/25 4:00,Control,control,7/3/25,4.433602312,0.00073205,0.073204963,1467.840417,0.242360942,24.23609423
73,3,7/3/25 4:00,Control,control,7/3/25,2.983221904,0.000492572,0.049257158,1364.287563,0.225262921,22.52629207
74,1,7/3/25 5:00,Control,control,7/3/25,2.860859681,0.000472368,0.047236787,1473.901584,0.243361726,24.33617256
74,2,7/3/25 5:00,Control,control,7/3/25,3.7746185,0.000623242,0.06232422,1471.944527,0.243038588,24.30385882
74,3,7/3/25 5:00,Control,control,7/3/25,3.563732959,0.000588422,0.058842206,1367.561041,0.225803418,22.58034175
76,1,7/3/25 6:00,Control,control,7/3/25,3.067149071,0.000506429,0.050642913,1479.829593,0.244340523,24.43405226
76,2,7/3/25 6:00,Control,control,7/3/25,4.307129928,0.000711167,0.071116727,1480.026276,0.244372998,24.43729977
76,3,7/3/25 7:00,Control,control,7/3/25,3.439985164,0.00056799,0.056798957,1374.564759,0.226959829,22.69598292
77,1,7/3/25 7:00,Control,control,7/3/25,2.681383215,0.000442734,0.04427338,1482.703859,0.244815104,24.48151041
77,2,7/3/25 7:00,Control,control,7/3/25,3.424131183,0.000565372,0.056537186,1483.891906,0.245011267,24.50112672
77,3,7/3/25 8:00,Control,control,7/3/25,3.162331476,0.000522145,0.052214507,1377.865917,0.227504896,22.75048965
78,1,7/3/25 8:00,Control,control,7/3/25,2.518317751,0.000415809,0.041580941,1485.303709,0.245244376,24.52443757
78,2,7/3/25 9:00,Control,control,7/3/25,3.27864169,0.00054135,0.054134951,1487.243293,0.245564628,24.55646279
78,3,7/3/25 9:00,Control,control,7/3/25,2.278019777,0.000376133,0.037613286,1380.586093,0.227954035,22.79540354
79,1,7/3/25 9:00,Control,control,7/3/25,2.513358637,0.000414991,0.041499059,1487.819548,0.245659776,24.56597757
79,2,7/3/25 10:00,Control,control,7/3/25,3.892180035,0.000642653,0.064265325,1490.828703,0.246156629,24.61566293
79,3,7/3/25 10:00,Control,control,7/3/25,2.491150192,0.000411324,0.041132367,1382.970678,0.228347764,22.83477637
80,1,7/3/25 11:00,Control,control,7/3/25,2.43740559,0.00040245,0.040244969,1490.29493,0.246068496,24.60684958
80,2,7/3/25 11:00,Control,control,7/3/25,2.992378884,0.000494084,0.049408352,1494.270983,0.246724998,24.67249977
80,3,7/3/25 11:00,Control,control,7/3/25,1.866031222,0.000308108,0.03081078,1385.149269,0.228707479,22.87074794
82,1,7/3/25 12:00,Control,control,7/3/25,2.092625204,0.000345522,0.034552163,1494.82496,0.246816467,24.68164671
82,2,7/3/25 12:00,Control,control,7/3/25,2.809353766,0.000463864,0.046386352,1500.072715,0.247682945,24.76829447
82,3,7/3/25 13:00,Control,control,7/3/25,1.963431761,0.00032419,0.032418999,1388.978731,0.229339777,22.93397772
83,1,7/3/25 13:00,Control,control,7/3/25,1.803196487,0.000297733,0.029773291,1496.772871,0.247138094,24.71380944
83,2,7/3/25 13:00,Control,control,7/3/25,2.051248097,0.00033869,0.033868969,1502.503016,0.248084221,24.80842214
83,3,7/3/25 14:00,Control,control,7/3/25,1.621977574,0.000267811,0.026781114,1390.771436,0.229635778,22.96357778
84,1,7/3/25 14:00,Control,control,7/3/25,1.467286076,0.000242269,0.024226941,1498.408113,0.247408096,24.74080956
84,2,7/3/25 15:00,Control,control,7/3/25,1.26274803,0.000208497,0.020849733,1504.160014,0.248357815,24.83578149
84,3,7/3/25 15:00,Control,control,7/3/25,0.995817543,0.000164423,0.016442338,1392.080334,0.229851895,22.98518951
85,1,7/3/25 15:00,Control,control,7/3/25,0.954857726,0.00015766,0.015766034,1499.619185,0.24760806,24.76080605
85,2,7/3/25 16:00,Control,control,7/3/25,0.773207505,0.000127667,0.012766735,1505.177992,0.248525897,24.85258972
85,3,7/3/25 16:00,Control,control,7/3/25,0.670896632,0.000110774,0.01107744,1392.913691,0.229989494,22.99894939
86,1,7/3/25 17:00,Control,control,7/3/25,0.658944859,0.000108801,0.010880099,1500.426086,0.247741291,24.77412911
86,2,7/3/25 17:00,Control,control,7/3/25,0.449212488,7.42E-05,0.007417125,1505.789202,0.248626817,24.86268165
86,3,7/3/25 17:00,Control,control,7/3/25,0.542404727,8.96E-05,0.008955859,1393.520341,0.23008966,23.00896604
88,1,7/3/25 18:00,Control,control,7/3/25,0.517593221,8.55E-05,0.008546187,1501.602624,0.247935554,24.7935554
88,2,7/3/25 18:00,Control,control,7/3/25,0.231286335,3.82E-05,0.00381886,1506.469701,0.248739176,24.87391764
88,3,7/3/25 19:00,Control,control,7/3/25,0.467939018,7.73E-05,0.007726326,1394.530685,0.230256482,23.02564823
89,1,7/3/25 19:00,Control,control,7/3/25,0.421713719,6.96E-05,0.006963082,1502.072277,0.2480131,24.80131003
89,2,7/3/25 19:00,Control,control,7/3/25,0.148427697,2.45E-05,0.002450748,1506.659558,0.248770524,24.87705244
89,3,7/3/25 20:00,Control,control,7/3/25,0.40767365,6.73E-05,0.006731261,1394.968492,0.23032877,23.03287702
90,1,7/3/25 20:00,Control,control,7/3/25,0.403491616,6.66E-05,0.00666221,1502.48488,0.248081227,24.80812268
90,2,7/3/25 21:00,Control,control,7/3/25,0.165396412,2.73E-05,0.002730926,1506.81647,0.248796433,24.87964328
90,3,7/3/25 21:00,Control,control,7/3/25,0.315488331,5.21E-05,0.005209153,1395.330073,0.230388472,23.03884723
91,1,7/3/25 21:00,Control,control,7/3/25,0.283451516,4.68E-05,0.00468018,1502.828352,0.248137939,24.81379387
91,2,7/3/25 22:00,Control,control,7/3/25,0.221020761,3.65E-05,0.003649361,1507.009679,0.248828334,24.88283342
91,3,7/3/25 22:00,Control,control,7/3/25,0.458480453,7.57E-05,0.007570152,1395.717057,0.230452369,23.04523688
92,1,7/3/25 23:00,Control,control,7/3/25,0.023091281,3.81E-06,0.000381269,1502.981623,0.248163246,24.8163246
92,2,7/3/25 23:00,Control,control,7/3/25,0.489795565,8.09E-05,0.008087208,1507.365087,0.248887017,24.88870171
92,3,7/3/25 23:00,Control,control,7/3/25,0.838154878,0.000138391,0.013839107,1396.365375,0.230559415,23.05594151
94,1,7/4/25,Control,control,7/4/25,0.064700734,1.07E-05,0.001068299,1503.069415,0.248177742,24.81777417
94,2,7/4/25,Control,control,7/4/25,2.265307207,0.000374034,0.037403384,1510.12019,0.249341923,24.9341923
94,3,7/4/25 1:00,Control,control,7/4/25,1.344366664,0.000221974,0.02219737,1398.547896,0.23091978,23.09197799
95,1,7/4/25 1:00,Control,control,7/4/25,2.895379919,0.000478068,0.047806764,1504.549455,0.248422117,24.8422117
95,2,7/4/25 1:00,Control,control,7/4/25,6.386222778,0.001054455,0.105445453,1514.445955,0.250056167,25.00561672
95,3,7/4/25 2:00,Control,control,7/4/25,2.897792297,0.000478466,0.047846596,1400.668976,0.23127,23.12699997
96,1,7/4/25 2:00,Control,control,7/4/25,3.548285806,0.000585872,0.058587152,1507.771288,0.248954087,24.89540866
96,2,7/4/25 3:00,Control,control,7/4/25,4.880155182,0.000805782,0.080578174,1520.079144,0.250986285,25.09862853
96,3,7/4/25 3:00,Control,control,7/4/25,3.602465443,0.000594817,0.059481733,1403.919104,0.231806641,23.18066414
97,1,7/4/25 3:00,Control,control,7/4/25,4.071023001,0.000672183,0.067218272,1511.580943,0.249583114,24.95831137
97,2,7/4/25 4:00,Control,control,7/4/25,3.403309841,0.000561934,0.056193396,1524.220876,0.251670143,25.16701432
97,3,7/4/25 4:00,Control,control,7/4/25,2.713912004,0.000448105,0.044810476,1407.077293,0.232328102,23.23281024
98,1,7/4/25 5:00,Control,control,7/4/25,2.028384284,0.000334915,0.033491456,1514.630646,0.250086662,25.00866623
98,2,7/4/25 5:00,Control,control,7/4/25,4.918675771,0.000812142,0.081214203,1528.381869,0.252357181,25.23571812
98,3,7/4/25 5:00,Control,control,7/4/25,4.322122159,0.000713643,0.07136427,1410.59531,0.232908976,23.29089761
100,1,7/4/25 6:00,Control,control,7/4/25,1.914496823,0.00031611,0.031611015,1518.573527,0.250737687,25.0737687
100,2,7/4/25 6:00,Control,control,7/4/25,2.543054702,0.000419894,0.041989383,1535.843599,0.253589217,25.3589217
100,3,7/4/25 7:00,Control,control,7/4/25,3.71366064,0.000613177,0.061317721,1418.631093,0.234235796,23.42357961
101,1,7/4/25 7:00,Control,control,7/4/25,3.039811275,0.000501915,0.050191527,1521.050681,0.2511467,25.11466998
101,2,7/4/25 7:00,Control,control,7/4/25,3.06629595,0.000506288,0.050628826,1538.648275,0.254052308,25.40523081
101,3,7/4/25 8:00,Control,control,7/4/25,3.183681212,0.00052567,0.052567021,1422.079764,0.23480522,23.48052198
102,1,7/4/25 8:00,Control,control,7/4/25,3.457466985,0.000570876,0.057087606,1524.299321,0.251683095,25.16830954
102,2,7/4/25 9:00,Control,control,7/4/25,1.142808951,0.000188694,0.018869371,1540.752827,0.254399799,25.4399799
102,3,7/4/25 9:00,Control,control,7/4/25,1.991581658,0.000328838,0.032883793,1424.667395,0.235232474,23.52324738
103,1,7/4/25 9:00,Control,control,7/4/25,1.971228022,0.000325477,0.032547726,1527.013668,0.252131272,25.21312721
103,2,7/4/25 10:00,Control,control,7/4/25,1.791527416,0.000295806,0.029580618,1542.219995,0.254642049,25.4642049
103,3,7/4/25 10:00,Control,control,7/4/25,1.294121534,0.000213678,0.021367753,1426.310247,0.235503732,23.55037316
104,1,7/4/25 11:00,Control,control,7/4/25,1.494491186,0.000246761,0.024676136,1528.746528,0.252417391,25.24173914
104,2,7/4/25 11:00,Control,control,7/4/25,1.038665706,0.000171498,0.017149821,1543.635092,0.254875701,25.48757012
104,3,7/4/25 11:00,Control,control,7/4/25,0.835747653,0.000137994,0.01379936,1427.375182,0.235679567,23.56795671
106,1,7/4/25 12:00,Control,control,7/4/25,1.041558089,0.000171976,0.017197578,1531.282577,0.252836129,25.28361285
106,2,7/4/25 12:00,Control,control,7/4/25,0.633099269,0.000104534,0.010453353,1545.306857,0.255151733,25.51517329
106,3,7/4/25 13:00,Control,control,7/4/25,0.64543106,0.00010657,0.010656968,1428.85636,0.23592413,23.59241304
107,1,7/4/25 13:00,Control,control,7/4/25,0.898977389,0.000148434,0.014843372,1532.252845,0.252996333,25.29963333
107,2,7/4/25 13:00,Control,control,7/4/25,0.608423022,0.000100459,0.010045913,1545.927618,0.255254229,25.52542292
107,3,7/4/25 14:00,Control,control,7/4/25,0.780106787,0.000128807,0.012880652,1429.569129,0.236041819,23.60418185
108,1,7/4/25 14:00,Control,control,7/4/25,0.904846397,0.000149403,0.014940277,1533.154757,0.253145252,25.31452515
108,2,7/4/25 15:00,Control,control,7/4/25,0.61622757,0.000101748,0.010174777,1546.539943,0.255355333,25.53553327
108,3,7/4/25 15:00,Control,control,7/4/25,0.738348062,0.000121912,0.012191157,1430.328357,0.236167178,23.61671776
109,1,7/4/25 15:00,Control,control,7/4/25,0.806499636,0.000133164,0.013316435,1534.01043,0.253286535,25.32865351
109,2,7/4/25 16:00,Control,control,7/4/25,0.308403018,5.09E-05,0.005092164,1547.002259,0.255431667,25.54316674
109,3,7/4/25 16:00,Control,control,7/4/25,0.645387868,0.000106563,0.010656255,1431.020225,0.236281415,23.62814146
110,1,7/4/25 17:00,Control,control,7/4/25,0.807654298,0.000133355,0.0133355,1534.817507,0.253419795,25.34197947
110,2,7/4/25 17:00,Control,control,7/4/25,0.361235962,5.96E-05,0.00596451,1547.337078,0.255486951,25.54869508
110,3,7/4/25 17:00,Control,control,7/4/25,0.612539717,0.000101139,0.010113886,1431.649188,0.236385265,23.63852653
112,1,7/4/25 18:00,Control,control,7/4/25,0.759233066,0.00012536,0.012535998,1536.384394,0.25367851,25.36785097
112,2,7/4/25 18:00,Control,control,7/4/25,0.360981249,5.96E-05,0.005960304,1548.059295,0.255606199,25.56061989
112,3,7/4/25 19:00,Control,control,7/4/25,0.626686971,0.000103475,0.010347477,1432.888415,0.236589879,23.65898789
113,1,7/4/25 19:00,Control,control,7/4/25,0.754149057,0.000124521,0.012452054,1537.141085,0.25380345,25.380345
113,2,7/4/25 19:00,Control,control,7/4/25,0.425801471,7.03E-05,0.007030577,1548.452687,0.255671153,25.56711533
113,3,7/4/25 20:00,Control,control,7/4/25,0.667623556,0.000110234,0.011023397,1433.53557,0.236696733,23.66967333
114,1,7/4/25 20:00,Control,control,7/4/25,0.798943238,0.000131917,0.013191668,1537.917631,0.253931669,25.39316686
114,2,7/4/25 21:00,Control,control,7/4/25,0.490909482,8.11E-05,0.008105601,1548.911042,0.255746834,25.57468342
114,3,7/4/25 21:00,Control,control,7/4/25,0.701766858,0.000115872,0.01158715,1434.220266,0.236809786,23.6809786
115,1,7/4/25 21:00,Control,control,7/4/25,0.860464132,0.000142075,0.014207464,1538.747335,0.254068664,25.40686643
115,2,7/4/25 22:00,Control,control,7/4/25,0.351823821,5.81E-05,0.005809102,1549.332409,0.255816408,25.58164077
115,3,7/4/25 22:00,Control,control,7/4/25,0.467931815,7.73E-05,0.007726207,1434.805115,0.236906353,23.69063528
116,1,7/4/25 23:00,Control,control,7/4/25,0.584618948,9.65E-05,0.009652875,1539.469876,0.254187966,25.41879659
116,2,7/4/25 23:00,Control,control,7/4/25,0.268731744,4.44E-05,0.004437136,1549.642687,0.255867639,25.58676389
116,3,7/4/25 23:00,Control,control,7/4/25,0.505716438,8.35E-05,0.008350084,1435.291939,0.236986734,23.69867343
118,1,7/5/25,Control,control,7/5/25,0.58370815,9.64E-05,0.009637836,1540.638203,0.254380873,25.43808731
118,2,7/5/25,Control,control,7/5/25,0.184145076,3.04E-05,0.003040492,1550.095563,0.255942415,25.59424152
118,3,7/5/25 1:00,Control,control,7/5/25,0.692759128,0.000114384,0.01143842,1436.490415,0.237184619,23.71846193
119,1,7/5/25 1:00,Control,control,7/5/25,0.455262525,7.52E-05,0.00751702,1541.157689,0.254466647,25.44666473
119,2,7/5/25 1:00,Control,control,7/5/25,0.24088149,3.98E-05,0.00397729,1550.308077,0.255977504,25.59775041
119,3,7/5/25 2:00,Control,control,7/5/25,2.073987764,0.000342444,0.034244433,1437.873788,0.237413034,23.74130336
120,1,7/5/25 2:00,Control,control,7/5/25,0.834378403,0.000137768,0.013776752,1541.802509,0.254573116,25.45731162
120,2,7/5/25 3:00,Control,control,7/5/25,0.552493342,9.12E-05,0.009122436,1550.704764,0.256043003,25.60430028
120,3,7/5/25 3:00,Control,control,7/5/25,2.022308244,0.000333911,0.033391132,1439.921936,0.237751211,23.77512114