parameter,treatment,rep,value
pH,Cont,1,6.91
pH,Cont,2,7.01
pH,Cont,3,7.04
pH,Acid,1,5.09
pH,Acid,2,5.07
pH,Acid,3,5.01
TAN,Cont,1,1.78
TAN,Cont,2,2.16
TAN,Cont,3,1.96
TAN,Acid,1,2.00
TAN,Acid,2,1.90
TAN,Acid,3,2.00
NO3,Cont,1,1.3
NO3,Cont,2,1.1
NO3,Cont,3,1.4
NO3,Acid,1,1.2
NO3,Acid,2,1.4
NO3,Acid,3,1.2
S,Cont,1,0.76
S,Cont,2,0.60
S,Cont,3,0.57
S,Acid,1,3.09
S,Acid,2,3.76
S,Acid,3,3.91
TS,Cont,1,80.07000656
TS,Cont,2,77.44476045
TS,Cont,3,80.07000656
TS,Acid,1,106.7600088
TS,Acid,2,107.1975498
TS,Acid,3,107.6350908
Ash,Cont,1,24.7210676
Ash,Cont,2,24.50229709
Ash,Cont,3,24.93983811
Ash,Acid,1,27.78385474
Ash,Acid,2,30.19033034
Ash,Acid,3,30.40910085
VS,Cont,1,55.34893896
VS,Cont,2,52.94246336
VS,Cont,3,55.13016845
VS,Acid,1,78.97615401
VS,Acid,2,77.00721943
VS,Acid,3,77.22598994
TN,Cont,1,2.558371041
TN,Cont,2,2.731092437
TN,Cont,3,3.04266055
TN,Acid,1,2.518133129
TN,Acid,2,2.747187728
TN,Acid,3,3.21801936
TC,Cont,1,36.38461538
TC,Cont,2,33.91520244
TC,Cont,3,40.10779817
TC,Acid,1,32.49502678
TC,Acid,2,36.4550767
TC,Acid,3,38.93365599
ON,Cont,1,0.783223112
ON,Cont,2,0.574402296
ON,Cont,3,1.084554904
ON,Acid,1,0.5215316
ON,Acid,2,0.800941204
ON,Acid,3,1.266346497
EC,Cont,1,10.61
EC,Cont,2,10.61
EC,Cont,3,10.79
EC,Acid,1,15.98
EC,Acid,2,15.45
EC,Acid,3,15.06
CN,Cont,1,14.22178988
CN,Cont,2,12.41818182
CN,Cont,3,13.18181818
CN,Acid,1,12.90441176
CN,Acid,2,13.26996198
CN,Acid,3,12.09863946
TN TAN,Cont,1,1.441215686
TN TAN,Cont,2,1.266335105
TN TAN,Cont,3,1.553879667
TN TAN,Acid,1,1.261209657
TN TAN,Acid,2,1.411531218
TN TAN,Acid,3,1.648851824